,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,White Box/NA,swap,light scratches , crack back-$60, crack back-$60, crack back-$40,demo-new -60 used-40,
,iPhone 14 Plus 128GB   red-40,350,270,Ask,230,200,180,100,50,bad face id =D,
,iPhone 14 Plus 256GB   red-40,400,320,Ask,260,230,210,120,70,bad carame -100,
,iPhone 14 Plus 512GB   red-40,420,340,Ask,280,250,230,130,80,red message-30,
,iPhone 14 Plus (Cricket-80) FLEX+30,sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,crack lens-30,
,iPhone 14 Plus 128GB Locked/flex/verizon,305,305,220,180,160,140,80,40,,
,iPhone 14 Plus 256GB Locked/flex/verizon,365,365,260,210,190,170,100,50,,
,iPhone 14 Plus 512GB Locked/flex/verizon,390,390,300,230,210,190,120,60,,
,,,,,,,,,,,
,iPhone 14 Unlocked,sealed,opened,CPO /APPLE RFB,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,US-C SPIRE LTE BLOCKED-ASK Verizon=locked ,Non-Activated,actived,White Box/NA,Swap,light scratches , crack back-$60, crack back-$50, crack back-$40,demo-new -60 used-40,
,iPhone 14  128GB   Unlocked red-40,370,290,Ask,230,200,180,120,50,bad face id =D,
,iPhone 14  256GB   Unlocked red-40,420,340,Ask,260,230,210,140,60,bad carame -100,
,iPhone 14  512GB   Unlocked red-40,440,360,Ask,290,260,240,160,70,red message-30,
,iPhone 14  (Cricket-80) FLEX+30,sealed,open ,new not box,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,crack lens-30,
,iPhone 14 128GB Locked/flex/verizon,215,215,160,140,120,100,50,20,,
,iPhone 14 256GB Locked/flex/verizon,290,290,220,180,160,140,60,30,,
,iPhone 14 512GB Locked/flex/verizon,330,330,250,210,190,170,70,40,,
,,,,,,,,,,,
,iPhone 13 Pro Max  (Cricket-80) FLEX+30,sealed,open ,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,"AT&T,T-M,XF,SP,only usa spec locked",Non-Activated,actived,HSO/NOT SWAP,Swap,light scratches , crack back-$60, crack back-$50, crack back-$40,demo-new -50 used-30,
,iPhone 13 Pro Max 128GB  ,ASK,,240,230,210,190,110,50,bad face id =D,
,iPhone 13 Pro Max 256GB   ,ASK,,260,250,230,210,130,60,bad carame -120,
,iPhone 13 Pro Max 512GB   ,ASK,,280,260,240,220,140,70,red message-30,
,iPhone 13 Pro Max 1TB    ,ASK,,300,280,260,240,150,80,crack lens-40,
,,,,,,,,,,,
,iPhone 13 Pro max  unlocked ,sealed,opened,CPO /APPLE RFB,SWAP/A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,Unlocked only. Verizon=locked,Non-Activated,actived,White Box/NA,Swap,q2ww3, crack back-$60, crack back-$50, crack back-$40,,
,iPhone 13 Pro Max 128GB ,ASK,,Ask,330,300,280,180,80,,
,iPhone 13 Pro Max 256GB ,ASK,,Ask,370,340,320,210,90,,
,iPhone 13 Pro Max 512GB  ,ASK,,Ask,400,370,340,230,110,,
,iPhone 13 Pro Max 1TB  ,ASK,,Ask,410,380,350,230,120,,
,,,,,,,,,,,
,iPhone 13 Pro (Cricket-80) FLEX+30,sealed,open ,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,"AT&T,T-M,XF,SP,only usa spec locked",Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$60, crack back-$50, crack back-$40,bad face id =D,
,iPhone 13 Pro 128GB  ,ASK,,210,200,180,160,100,30,bad carame -120,
,iPhone 13 Pro 256GB  ,ASK,,240,230,210,190,120,40,red message-30,
,iPhone 13 Pro 512GB  ,ASK,,270,260,230,210,140,50,crack lens-40,
,iPhone 13 Pro 1TB.   ,ASK,,290,280,250,230,150,60,,
,,,,,,,,,,,
,iPhone 13 Pro  unlocked ,sealed,opened,CPO /APPLE RFB,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,,
,Unlocked only. Verizon=locked,Non-Activated,actived,White Box/NA,swap,light scratches , crack back-$60, crack back-$50, crack back-$40,,
,iPhone 13 Pro 128GB  ,ASK,,Ask,290,260,240,180,80,,
,iPhone 13 Pro 256GB  ,ASK,,Ask,320,290,270,200,100,,
,iPhone 13 Pro 512GB  ,ASK,,Ask,340,310,290,220,110,,
,iPhone 13 Pro 1TB,ASK,,Ask,350,320,300,230,120,,
,,,,,,,,,,,
,iPhone 13 (Cricket-60) FLEX+30,sealed,open ,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,demo-new -50 used-30,
,"AT&T,T-M,XF,SP,only usa spec locked",Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$50, crack back-$40, crack back-$30,bad face id =D,
,iPhone 13 128GB  ,190,190,130,120,100,90,60,20,bad carame -100,
,iPhone 13 256GB,225,225,160,150,130,110,90,40,red message-30,
,iPhone 13 512GB,250,250,170,160,140,120,100,50,crack lens-40,
,,,,,,,,,,,
,iPhone 13  unlocked  ,sealed,opened,CPO /APPLE RFB,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,Unlocked only. Verizon=locked,Non-Activated,actived,White Box/NA,swap,light scratches , crack back-$50, crack back-$40, crack back-$30,,
,iPhone 13 128GB  (red-40),340,280,Ask,210,170,150,100,40,,
,iPhone 13 256GB  (red-40),430,350,Ask,240,200,180,120,50,,
,iPhone 13 512GB  (red-40),460,390,Ask,260,220,200,130,60,,
,,,,,,,,,,,
,iPhone 13 mini   (Cricket-60) FLEX+30,sealed,open ,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,demo-new -50 used-30,
,"AT&T,T-M,XF,SP,only usa spec locked",Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$50, crack back-$40, crack back-$30,bad face id =D,
,iPhone 13 mini 128GB  ,175,175,130,110,90,70,40,10,bad carame -100,
,iPhone 13 mini 256GB   ,220,220,160,140,120,100,50,20,red message-30,
,iPhone 13 mini 512GB,250,250,180,160,140,120,60,30,crack lens-40,
,,,,,,,,,,,
,iPhone 13 mini unlocked  ,sealed,opened,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,unlocked = locked ,
,Unlocked only. Verizon=locked,Non-Activated,actived,HSO/NOT SWAP,swap,light scratches , crack back-$50, crack back-$40, crack back-$30,,
,iPhone 13 mini 128GB (red-40),350,270,190,180,150,140,90,40,,
,iPhone 13 mini 256GB (red-40),420,320,220,210,180,160,100,50,,
,iPhone 13 mini 512GB (red-40),450,350,240,230,200,180,110,60,,
,,,,,,,,,,,
,iPhone SE 3rd locked (Cricket-40) FLEX+30,sealed,open ,new not box,A Grade ,B+ Grade,B grade,  C Grade,D Grade BAD LCD,demo-new -30 used-20,
